Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate,Location
2019,267,102622,102622,,51 Drummond Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9672,-37.8056,POINT (144.9671559 -37.8055956)
2019,304,101292,101292,,5 Brougham Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9465,-37.7941,POINT (144.9464904 -37.79412753)
2019,604,105007,105007,,18 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9899,-37.8143,POINT (144.9899007 -37.81434986)
2019,212,563922,106170,College Square Apartments,570 Lygon Street CARLTON 3053,Carlton,2000.0,,10.0,Student Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.969,-37.7931,POINT (144.9690409 -37.79313881)
2019,2384,616742,616742,,179 Melrose Street NORTH MELBOURNE 3051,North Melbourne,1900.0,,1.0,House/Townhouse,,,,,,144.9425,-37.7906,POINT (144.9424572 -37.79062256)
2019,617,104961,104961,,153-155 Hotham Street EAST MELBOURNE 3002,East Melbourne,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9851,-37.8143,POINT (144.9851365 -37.8143196)
2019,44,106373,106373,,21-27 McKillop Street MELBOURNE 3000,Melbourne (CBD),1986.0,2008.0,1.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9615,-37.8152,POINT (144.9614844 -37.81524258)
2019,44,106375,106375,,10-16 McKillop Street MELBOURNE 3000,Melbourne (CBD),1920.0,1998.0,5.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9619,-37.8153,POINT (144.9619028 -37.81533109)
2019,612,109635,109635,,480 Victoria Parade EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9875,-37.8099,POINT (144.9874942 -37.8099206)
2019,14,103170,103170,South Australia House,25 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1889.0,,5.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9644,-37.8176,POINT (144.9643926 -37.8175984)
2019,230,109099,109099,,174 Station Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.975,-37.7933,POINT (144.9749767 -37.79333017)
2019,214,103130,103130,,200-202 Elgin Street CARLTON 3053,Carlton,1873.0,2000.0,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9679,-37.797,POINT (144.9679226 -37.79695683)
2019,261,103279,103279,,582-590 Elizabeth Street MELBOURNE 3000,Carlton,1965.0,2007.0,2.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9593,-37.8046,POINT (144.9593349 -37.80460294)
2019,240,101051,101051,Building 206,214 Berkeley Street CARLTON 3053,Carlton,1950.0,,2.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,0.0,,144.959,-37.8005,POINT (144.959009 -37.80047178)
2019,65,109299,109299,,271 Swanston Street MELBOURNE 3000,Melbourne (CBD),1901.0,,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9646,-37.8119,POINT (144.9645514 -37.81190132)
2019,85,532170,532170,,309 Swanston Street MELBOURNE 3000,Melbourne (CBD),1870.0,,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.9641,-37.811,POINT (144.9641465 -37.81096831)
2019,618,109993,109993,Pullman On The Park,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,1967.0,2018.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,37.0,True,144.9835,-37.8158,POINT (144.9834985 -37.81582311)
2019,2382,616785,616785,,445 Flemington Road NORTH MELBOURNE 3051,North Melbourne,0.0,,1.0,House/Townhouse,,,,,,144.9405,-37.7886,POINT (144.940514 -37.7885606)
2019,248,102751,102751,Dublin Terrace,204 Drummond Street CARLTON 3053,Carlton,1860.0,2018.0,2.0,Unoccupied - Under Renovation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,True,144.9688,-37.8016,POINT (144.9687513 -37.80164878)
2019,76,589841,105749,QV Retail & Parking,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2003.0,,4.0,Parking - Commercial Covered,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,250.0,True,144.9657,-37.8107,POINT (144.965725 -37.81067869)
2019,620,109653,109653,,262-304 Albert Street EAST MELBOURNE 3002,East Melbourne,,,14.0,Unoccupied - Under Construction,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9817,-37.8096,POINT (144.9817267 -37.80962534)
2019,226,107611,107611,,24 Pitt Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9724,-37.7956,POINT (144.9723544 -37.79560211)
2019,234,101504,101504,,42 Canning Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9731,-37.7985,POINT (144.9730564 -37.79848368)
2019,606,108795,108795,,20 Simpson Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9882,-37.8161,POINT (144.9882264 -37.81609964)
2019,219,104487,104487,,12 Grattan Street CARLTON 3053,Carlton,1871.0,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9694,-37.8007,POINT (144.9693506 -37.80068165)
2019,2389,624203,624203,,21 Wilson Mews NORTH MELBOURNE 3051,North Melbourne,2010.0,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9408,-37.7935,POINT (144.9408051 -37.7934701)
2019,222,106263,106263,,53 MacArthur Place South CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.971,-37.7987,POINT (144.9710115 -37.79865759)
2019,614,100334,100334,Tunbridge Manor,93-97 Albert Street EAST MELBOURNE 3002,East Melbourne,,,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9849,-37.8109,POINT (144.9849098 -37.8109292)
2019,56,109398,109398,226 Swanston St,226-228 Swanston Street MELBOURNE 3000,Melbourne (CBD),1888.0,1981.0,5.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9655,-37.8125,POINT (144.9655013 -37.81254798)
2019,306,103546,103546,Rozel,47 Erskine Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9432,-37.7949,POINT (144.9432272 -37.7949083)
2019,224,592118,592118,,17 David Street CARLTON 3053,Carlton,2007.0,,3.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9718,-37.7969,POINT (144.9718006 -37.79691629)
2019,1108,611786,611786,,131-141 Harbour Esplanade DOCKLANDS 3008,Docklands,,,1.0,Unoccupied - Unused,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.9453,-37.8171,POINT (144.9452948 -37.81711586)
2019,602,100332,100332,,45 Albert Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9894,-37.8113,POINT (144.989385 -37.81131354)
2019,243,104458,104458,,175 Grattan Street CARLTON 3053,Carlton,1900.0,1990.0,1.0,Student Accommodation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9631,-37.8006,POINT (144.9630592 -37.8005711)
2019,604,104318,104318,,61 Gipps Street EAST MELBOURNE 3002,East Melbourne,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9886,-37.8136,POINT (144.9886219 -37.81356074)
2019,251,102762,102762,,112 Drummond Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9682,-37.8041,POINT (144.9681676 -37.80411028)
2019,235,100738,100738,,1-25 Barkly Street CARLTON 3053,Carlton,1994.0,,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9745,-37.7985,POINT (144.9745067 -37.79850034)
2019,219,102726,102726,,288-290 Drummond Street CARLTON 3053,Carlton,,,2.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9689,-37.7993,POINT (144.968935 -37.79930331)
2019,773,677816,677816,,208-0 River Esplanade DOCKLANDS 3008,Docklands,2017.0,,3.0,House/Townhouse,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9356,-37.8217,POINT (144.9356106 -37.82166382)
2019,230,106963,106963,,221 Nicholson Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9751,-37.7948,POINT (144.9750701 -37.79478417)
2019,230,109125,109125,,96-98 Station Street CARLTON 3053,Carlton,,,1.0,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.9746,-37.7951,POINT (144.97465 -37.79508162)
